Fecha Respuesta,NPS Recomendacion,Satisfaccion Soporte,Edad,Plan Actual,Funciones Favoritas,Comentarios
2024-11-29 09:18:31,10,3,64,Gratuito,"API, Dashboard, Ninguna",Muy rápido - ID:112
2025-06-13 02:55:50,8,4,18,Gratuito,"API, Reportes",Podría mejorar - ID:113
2025-09-02 21:01:57,7,1,20,Empresarial,API,La interfaz es confusa - ID:114
2024-11-24 04:36:56,7,2,32,Empresarial,"Exportación, Ninguna, Dashboard",Podría mejorar - ID:115
2025-05-08 09:16:44,10,5,47,Empresarial,Exportación,Soporte lento - ID:116
2025-07-04 07:50:25,10,5,37,Gratuito,Ninguna,Precio justo - ID:117
2025-10-12 08:15:03,8,4,55,Pro,"API, Reportes, Exportación",Demasiados bugs - ID:118
2025-10-05 05:57:56,10,3,61,Pro,"Usuarios, Exportación",Me encanta el dashboard - ID:119
2025-08-26 20:16:36,10,4,21,Pro,Reportes,Demasiados bugs - ID:120
2025-07-03 07:27:48,6,4,63,Básico,Exportación,Precio justo - ID:121
2025-08-11 03:00:37,8,2,30,Gratuito,Dashboard,Excelente servicio - ID:122
2025-08-25 14:32:38,10,5,61,Pro,Reportes,Podría mejorar - ID:123
2025-02-22 15:57:31,10,4,35,Gratuito,Ninguna,Podría mejorar - ID:124
2024-12-16 04:45:23,7,5,26,Gratuito,"Dashboard, Usuarios, Reportes",Podría mejorar - ID:125
2025-09-12 12:21:19,8,5,52,Gratuito,"Reportes, Dashboard, Exportación",Soporte lento - ID:126
2024-12-15 01:25:39,10,4,33,Empresarial,"Usuarios, Dashboard, Exportación",Me encanta el dashboard - ID:127
2025-08-12 23:05:59,8,4,21,Gratuito,"Reportes, Dashboard",La interfaz es confusa - ID:128
2025-04-24 21:05:38,7,4,55,Empresarial,"Usuarios, Dashboard, Reportes",Muy rápido - ID:129
2025-08-25 06:18:54,2,4,63,Pro,"Exportación, Reportes",Demasiados bugs - ID:130
2025-06-05 16:33:40,10,3,28,Gratuito,"Ninguna, Usuarios, API",Precio justo - ID:131
2025-05-08 10:20:13,9,4,55,Empresarial,Ninguna,Demasiados bugs - ID:132
2025-06-14 07:27:38,9,1,47,Gratuito,"Ninguna, API, Exportación",Muy rápido - ID:133
2025-09-07 09:39:34,10,5,59,Empresarial,"Exportación, Dashboard, API",La interfaz es confusa - ID:134
2025-03-28 01:32:26,10,4,33,Pro,"Usuarios, API, Ninguna",Precio justo - ID:135
2025-10-30 23:45:22,2,5,20,Empresarial,Reportes,La interfaz es confusa - ID:136
2025-03-14 00:39:36,10,1,36,Básico,"Dashboard, API, Exportación",Excelente servicio - ID:137
2025-01-31 21:41:10,10,4,50,Básico,"Usuarios, API",Podría mejorar - ID:138
2025-07-05 13:14:06,3,4,53,Pro,"Exportación, Ninguna",Me encanta el dashboard - ID:139
2025-03-11 14:31:43,10,2,51,Pro,API,Soporte lento - ID:140
2025-01-25 17:49:27,10,5,24,Básico,Reportes,Me encanta el dashboard - ID:141
2025-09-27 22:53:35,9,3,65,Pro,"Exportación, Reportes",Soporte lento - ID:142
2024-12-20 22:14:16,10,1,33,Gratuito,"Exportación, Dashboard, Reportes",Excelente servicio - ID:143
2025-04-27 13:16:15,9,3,28,Gratuito,"API, Dashboard, Ninguna",La interfaz es confusa - ID:144
2025-01-27 16:25:25,9,3,49,Pro,"Ninguna, Exportación, API",Precio justo - ID:145
2025-04-03 14:20:29,1,2,28,Básico,"Exportación, Reportes",Muy rápido - ID:146
2025-01-07 04:56:44,9,4,42,Pro,"Usuarios, Exportación, Reportes",Excelente servicio - ID:147
2025-07-03 03:28:49,6,1,58,Gratuito,"Reportes, API, Dashboard",Me encanta el dashboard - ID:148
2025-08-31 07:10:27,10,3,55,Básico,"Exportación, Dashboard",Precio justo - ID:149
2024-12-11 16:10:34,10,5,46,Empresarial,"Reportes, Dashboard, Usuarios",Me encanta el dashboard - ID:150
2025-11-18 02:52:30,4,1,34,Gratuito,"Reportes, Usuarios, Ninguna",Precio justo - ID:151
2025-06-10 15:51:22,9,3,40,Gratuito,Ninguna,Me encanta el dashboard - ID:152
2025-07-07 01:19:03,9,5,43,Gratuito,"Exportación, Dashboard, Usuarios",Me encanta el dashboard - ID:153
2024-12-07 13:13:57,2,4,64,Pro,Dashboard,Me encanta el dashboard - ID:154
2025-08-22 11:42:54,8,4,40,Pro,Reportes,Podría mejorar - ID:155
2025-06-09 14:14:52,9,4,57,Gratuito,Exportación,La interfaz es confusa - ID:156
2025-09-01 13:03:21,7,4,52,Gratuito,"Exportación, Ninguna",Demasiados bugs - ID:157
2024-12-01 19:02:47,10,2,43,Empresarial,"API, Ninguna, Exportación",Excelente servicio - ID:158
2025-04-15 12:43:00,9,5,34,Gratuito,"Dashboard, Usuarios",Precio justo - ID:159
2025-05-03 19:38:35,5,3,38,Básico,"Exportación, Dashboard, Reportes",Podría mejorar - ID:160
2025-10-20 14:49:00,10,2,36,Pro,"Reportes, Ninguna",Podría mejorar - ID:161
2024-12-13 02:09:36,8,5,63,Básico,"Exportación, API",Demasiados bugs - ID:162
2024-12-01 17:41:46,10,1,27,Empresarial,"Dashboard, Ninguna, Reportes",Soporte lento - ID:163
2025-10-30 17:43:42,8,2,31,Básico,"Usuarios, Reportes",Precio justo - ID:164
2025-05-10 06:39:59,8,4,58,Pro,"Exportación, Dashboard",Precio justo - ID:165
2024-11-25 13:30:47,8,5,41,Básico,Ninguna,Muy rápido - ID:166
2025-09-22 15:30:55,4,3,22,Pro,Dashboard,Excelente servicio - ID:167
2025-10-29 19:34:10,1,3,49,Empresarial,"Dashboard, Usuarios",Precio justo - ID:168
2025-08-26 07:58:07,8,1,55,Básico,"Reportes, Exportación, API",Precio justo - ID:169
2024-12-18 23:05:40,8,3,30,Básico,"Usuarios, API",Excelente servicio - ID:170
2024-12-14 00:11:45,10,1,22,Básico,"Exportación, Ninguna",Excelente servicio - ID:171
2025-04-26 07:52:37,9,3,30,Pro,"API, Exportación, Usuarios",La interfaz es confusa - ID:172
2025-10-24 14:27:14,7,2,25,Pro,"Dashboard, API",La interfaz es confusa - ID:173
2025-02-26 06:29:29,8,1,65,Básico,Exportación,Demasiados bugs - ID:174
2025-07-08 04:00:58,10,2,36,Gratuito,"Reportes, API, Usuarios",Muy rápido - ID:175
2025-08-23 05:57:47,8,4,37,Pro,"Usuarios, Ninguna",Muy rápido - ID:176
2025-04-27 03:26:53,1,1,31,Pro,Reportes,Podría mejorar - ID:177
2025-04-12 23:56:57,8,3,50,Básico,"Dashboard, Exportación",Demasiados bugs - ID:178
2024-12-26 12:42:02,9,3,44,Básico,Usuarios,Muy rápido - ID:179
2025-11-14 07:50:42,7,4,55,Empresarial,"Exportación, Usuarios, Ninguna",Soporte lento - ID:180
2025-04-25 10:17:48,3,3,38,Gratuito,"Usuarios, API",Me encanta el dashboard - ID:181
2025-07-28 12:59:28,8,3,55,Básico,"Usuarios, API",Soporte lento - ID:182
2025-08-25 10:27:20,8,1,56,Pro,Reportes,Me encanta el dashboard - ID:183
2025-11-16 15:19:57,7,3,30,Gratuito,"Usuarios, API, Dashboard",Soporte lento - ID:184
2025-08-07 01:56:20,7,2,63,Pro,"Reportes, API, Dashboard",Demasiados bugs - ID:185
2025-10-19 19:52:43,8,1,33,Pro,"Ninguna, Exportación, Reportes",Muy rápido - ID:186
2025-06-26 21:45:12,10,1,23,Básico,"Reportes, Usuarios",Demasiados bugs - ID:187
2024-12-09 16:16:23,10,5,28,Pro,"Reportes, Ninguna",Soporte lento - ID:188
2025-08-13 04:10:49,7,3,39,Gratuito,"API, Exportación",Muy rápido - ID:189
2025-03-01 03:15:22,6,1,36,Básico,"Usuarios, Dashboard, Reportes",Demasiados bugs - ID:190
2025-09-17 10:15:30,10,1,23,Empresarial,"API, Ninguna, Usuarios",Muy rápido - ID:191
2025-08-26 23:06:46,10,1,56,Gratuito,Ninguna,Podría mejorar - ID:192
2025-10-14 05:52:10,8,4,30,Básico,"Exportación, Usuarios, Reportes",Precio justo - ID:193
2025-03-02 07:49:20,1,3,18,Gratuito,API,La interfaz es confusa - ID:194
2024-12-01 05:03:13,5,4,23,Básico,"API, Reportes, Exportación",Podría mejorar - ID:195
2025-06-30 00:29:25,7,5,38,Básico,Reportes,Soporte lento - ID:196
2025-08-11 10:20:02,8,1,65,Gratuito,API,Podría mejorar - ID:197
2024-12-16 06:21:57,9,5,18,Pro,"Exportación, Usuarios, Ninguna",Muy rápido - ID:198
2024-12-03 02:02:58,9,4,53,Empresarial,"Usuarios, Exportación, Dashboard",Demasiados bugs - ID:199
2025-04-14 06:56:31,10,2,49,Básico,Usuarios,Muy rápido - ID:200
2025-02-20 01:40:06,10,5,46,Gratuito,"Dashboard, Ninguna",Demasiados bugs - ID:201
2025-10-03 02:32:33,9,3,41,Pro,"Dashboard, Ninguna, Usuarios",Demasiados bugs - ID:202
2025-02-04 09:43:24,10,1,53,Pro,Usuarios,Muy rápido - ID:203
2025-05-18 18:09:54,10,2,64,Gratuito,"Reportes, API, Ninguna",Excelente servicio - ID:204
2025-05-21 12:00:44,10,3,39,Pro,"Ninguna, Usuarios",Muy rápido - ID:205
2025-08-08 09:07:21,9,2,42,Gratuito,"Dashboard, Exportación",Soporte lento - ID:206
2025-06-22 22:53:56,8,2,59,Gratuito,Exportación,Muy rápido - ID:207
2025-10-14 03:43:45,10,4,34,Pro,Reportes,Muy rápido - ID:208
2025-07-27 13:44:17,10,2,32,Básico,API,Muy rápido - ID:209
2025-03-01 14:10:20,10,4,37,Gratuito,"Exportación, Ninguna",La interfaz es confusa - ID:210
2024-12-05 00:06:39,10,3,31,Gratuito,"Dashboard, API, Exportación",Me encanta el dashboard - ID:211
2025-06-11 19:43:46,6,4,50,Pro,"Usuarios, API, Exportación",Me encanta el dashboard - ID:212
2025-05-04 22:55:52,1,4,20,Básico,"Ninguna, API",Podría mejorar - ID:213
2025-05-30 11:14:26,8,4,27,Básico,"Exportación, Usuarios, API",Demasiados bugs - ID:214
2025-10-19 16:07:12,10,3,35,Empresarial,API,Excelente servicio - ID:215
2025-09-10 20:30:54,10,2,59,Pro,Ninguna,Muy rápido - ID:216
2024-12-29 22:58:14,10,4,45,Pro,"Ninguna, Usuarios",Precio justo - ID:217
2025-08-20 14:05:08,3,2,59,Empresarial,"API, Reportes",Precio justo - ID:218
2024-12-20 17:48:33,9,5,30,Gratuito,Usuarios,Demasiados bugs - ID:219
2024-12-07 00:57:06,7,1,48,Básico,"Ninguna, Reportes",Podría mejorar - ID:220
2025-08-29 14:46:08,10,3,45,Empresarial,API,Muy rápido - ID:221
2025-04-17 22:12:35,10,1,48,Gratuito,Usuarios,Soporte lento - ID:222
2025-08-20 22:59:45,9,5,36,Básico,"Dashboard, Exportación",Excelente servicio - ID:223
2025-07-04 09:34:36,9,2,18,Empresarial,"Reportes, Usuarios",Excelente servicio - ID:224
2025-09-15 16:18:52,10,5,59,Empresarial,Usuarios,La interfaz es confusa - ID:225
2025-10-08 23:45:31,10,4,42,Pro,Reportes,Precio justo - ID:226
2025-06-14 15:06:46,9,5,49,Básico,Exportación,Precio justo - ID:227
2025-03-31 00:55:24,6,4,24,Gratuito,"Ninguna, Exportación",Me encanta el dashboard - ID:228
2025-07-29 08:20:33,10,4,40,Gratuito,"Ninguna, API, Reportes",Muy rápido - ID:229
2024-12-26 01:23:22,10,4,42,Empresarial,Reportes,Muy rápido - ID:230
2025-09-02 00:02:38,7,1,46,Pro,"Exportación, Usuarios, Ninguna",Demasiados bugs - ID:231
2024-12-12 08:00:31,9,1,63,Gratuito,"Dashboard, Exportación, Ninguna",Me encanta el dashboard - ID:232
2025-04-24 17:28:27,6,2,63,Gratuito,Ninguna,La interfaz es confusa - ID:233
2025-06-11 18:40:24,10,2,49,Pro,"Ninguna, Exportación, Dashboard",Podría mejorar - ID:234
2024-12-21 03:45:04,8,3,57,Gratuito,"API, Reportes, Exportación",Precio justo - ID:235
2024-12-04 08:51:39,9,1,60,Empresarial,"API, Ninguna, Exportación",La interfaz es confusa - ID:236
2025-01-21 18:24:59,9,3,40,Gratuito,"Usuarios, Dashboard, Ninguna",Podría mejorar - ID:237
2025-03-29 05:47:54,0,1,30,Gratuito,"Exportación, API, Dashboard",La interfaz es confusa - ID:238
2025-10-16 11:02:01,2,4,40,Pro,"Dashboard, API",Precio justo - ID:239
2025-03-10 14:42:33,4,4,21,Básico,"Exportación, API",Muy rápido - ID:240
2025-05-28 01:10:39,7,4,30,Pro,"Ninguna, Dashboard, API",Excelente servicio - ID:241
2025-02-05 18:07:47,10,3,58,Gratuito,"Exportación, Reportes, Usuarios",Demasiados bugs - ID:242
2024-12-26 00:19:19,4,5,60,Pro,"Exportación, Ninguna",Soporte lento - ID:243
2025-10-12 12:28:40,7,4,35,Gratuito,Usuarios,Me encanta el dashboard - ID:244
2025-10-19 21:37:05,10,3,31,Básico,API,Podría mejorar - ID:245
2025-08-07 04:32:10,9,5,31,Gratuito,"Ninguna, Exportación, Usuarios",Me encanta el dashboard - ID:246
2025-01-12 21:33:40,9,1,25,Básico,"API, Dashboard, Exportación",La interfaz es confusa - ID:247
2025-05-30 16:39:40,0,1,24,Gratuito,Ninguna,Soporte lento - ID:248
2025-09-06 16:12:11,10,1,30,Pro,"API, Ninguna",Muy rápido - ID:249
2025-07-17 17:53:45,7,5,45,Gratuito,Reportes,Demasiados bugs - ID:250
2025-10-18 04:25:05,10,5,57,Básico,"Ninguna, API, Exportación",Demasiados bugs - ID:251
2024-12-05 12:07:50,8,4,51,Empresarial,"Usuarios, Ninguna",Muy rápido - ID:252
2025-11-03 13:13:02,7,4,21,Básico,"Dashboard, Exportación, Usuarios",Muy rápido - ID:253
2025-04-14 16:21:58,4,3,35,Pro,Exportación,Muy rápido - ID:254
2025-10-30 23:01:34,10,4,33,Gratuito,Exportación,La interfaz es confusa - ID:255
2025-08-29 14:49:18,9,5,50,Empresarial,"Exportación, Reportes, API",Podría mejorar - ID:256
2025-11-06 18:25:14,8,3,43,Empresarial,Usuarios,Soporte lento - ID:257
2025-07-10 05:15:57,10,4,29,Empresarial,"Dashboard, API",Podría mejorar - ID:258
2025-01-01 06:33:21,7,2,30,Pro,"Exportación, Dashboard",Precio justo - ID:259
2025-07-05 10:28:22,9,2,54,Básico,"Ninguna, Reportes",Excelente servicio - ID:260
2025-03-16 17:55:11,2,2,44,Gratuito,Dashboard,Muy rápido - ID:261
2025-06-25 05:29:21,10,4,45,Empresarial,Ninguna,Soporte lento - ID:262
2024-11-24 16:05:38,10,4,31,Pro,"Exportación, Dashboard",La interfaz es confusa - ID:263
2025-03-27 13:14:46,8,4,31,Empresarial,"Usuarios, Dashboard",Excelente servicio - ID:264
2024-12-17 05:45:50,7,4,64,Pro,Ninguna,Soporte lento - ID:265
2025-06-11 11:21:51,9,3,18,Gratuito,"Reportes, Exportación",La interfaz es confusa - ID:266
2025-05-02 02:06:12,8,1,26,Empresarial,"Dashboard, API, Exportación",Me encanta el dashboard - ID:267
2025-04-30 16:33:38,5,3,21,Empresarial,"Reportes, Dashboard, Exportación",La interfaz es confusa - ID:268
2025-08-16 11:42:33,9,1,22,Pro,Exportación,Podría mejorar - ID:269
2025-09-25 17:10:39,9,4,33,Empresarial,Ninguna,Podría mejorar - ID:270
2025-10-04 11:57:23,7,1,26,Básico,"Exportación, Usuarios, Dashboard",Soporte lento - ID:271
2025-09-03 09:22:32,5,4,63,Pro,"Reportes, Usuarios",Me encanta el dashboard - ID:272
2025-03-19 09:33:46,8,5,48,Básico,Ninguna,Me encanta el dashboard - ID:273
2025-05-06 06:23:09,10,4,36,Gratuito,"Usuarios, Exportación",Precio justo - ID:274
2024-12-28 01:06:00,10,2,65,Básico,Usuarios,Muy rápido - ID:275
2024-12-14 16:29:15,9,5,30,Básico,"Usuarios, Ninguna",La interfaz es confusa - ID:276
2024-12-15 18:14:02,10,1,26,Pro,"Usuarios, Reportes, Ninguna",La interfaz es confusa - ID:277
2025-01-10 03:27:52,9,5,20,Gratuito,"Dashboard, Exportación, API",Demasiados bugs - ID:278
2025-09-06 20:59:41,10,3,28,Gratuito,"API, Dashboard, Reportes",La interfaz es confusa - ID:279
2025-10-19 03:55:33,0,3,44,Pro,"Exportación, API, Dashboard",Muy rápido - ID:280
2025-01-11 03:08:13,10,1,24,Pro,"Dashboard, Usuarios",Excelente servicio - ID:281
2025-03-09 10:38:11,8,5,24,Básico,Reportes,Demasiados bugs - ID:282
2025-07-24 14:25:23,10,5,18,Básico,"Ninguna, Usuarios, Exportación",La interfaz es confusa - ID:283
2024-11-25 22:21:16,8,3,26,Básico,Exportación,Excelente servicio - ID:284
2025-09-15 01:18:25,10,3,59,Gratuito,Usuarios,Me encanta el dashboard - ID:285
2024-12-07 07:35:59,4,3,36,Empresarial,"Reportes, Dashboard, API",Soporte lento - ID:286
2025-10-18 09:47:06,9,5,53,Gratuito,Ninguna,Me encanta el dashboard - ID:287
